V1,V2,set,DM_range
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
20.0,9299.0,0,10to20
20.0,9205.0,1,10to20
20.0,9344.0,2,10to20
19.0,9311.0,3,10to20
20.0,9352.0,4,10to20
20.0,9364.0,5,10to20
20.0,9219.0,6,10to20
20.0,9290.0,7,10to20
20.0,9294.0,8,10to20
20.0,9292.0,9,10to20
20.0,9358.0,10,10to20
20.0,9320.0,11,10to20
19.0,9239.0,12,10to20
20.0,9331.0,13,10to20
20.0,9319.0,14,10to20
20.0,9349.0,15,10to20
20.0,9317.0,16,10to20
20.0,9307.0,17,10to20
20.0,9398.0,18,10to20
20.0,9374.0,19,10to20
20.0,9370.0,20,10to20
20.0,9370.0,21,10to20
20.0,9262.0,22,10to20
20.0,9379.0,23,10to20
13.0,8960.0,24,10to20
20.0,9372.0,25,10to20
16.0,9190.0,26,10to20
15.0,9157.0,27,10to20
19.0,9322.0,28,10to20
19.0,9360.0,29,10to20
30.0,9588.0,0,20to30
30.0,9731.0,1,20to30
30.0,9592.0,2,20to30
30.0,9594.0,3,20to30
30.0,9694.0,4,20to30
29.0,9707.0,5,20to30
30.0,9655.0,6,20to30
27.0,9638.0,7,20to30
30.0,9625.0,8,20to30
30.0,9666.0,9,20to30
30.0,9715.0,10,20to30
29.0,9714.0,11,20to30
30.0,9676.0,12,20to30
25.0,9403.0,13,20to30
21.0,9388.0,14,20to30
30.0,9665.0,15,20to30
30.0,9714.0,16,20to30
27.0,9629.0,17,20to30
30.0,9725.0,18,20to30
30.0,9714.0,19,20to30
30.0,9656.0,20,20to30
30.0,9724.0,21,20to30
30.0,9642.0,22,20to30
30.0,9667.0,23,20to30
30.0,9645.0,24,20to30
26.0,9557.0,25,20to30
30.0,9574.0,26,20to30
30.0,9701.0,27,20to30
30.0,9725.0,28,20to30
30.0,9663.0,29,20to30
29.0,9583.0,0,30to40
40.0,9957.0,1,30to40
40.0,9839.0,2,30to40
40.0,9859.0,3,30to40
39.0,9903.0,4,30to40
40.0,9940.0,5,30to40
40.0,9923.0,6,30to40
40.0,9862.0,7,30to40
33.0,9794.0,8,30to40
40.0,9962.0,9,30to40
40.0,9878.0,10,30to40
40.0,9942.0,11,30to40
40.0,9810.0,12,30to40
40.0,9969.0,13,30to40
40.0,9985.0,14,30to40
26.0,9538.0,15,30to40
40.0,9922.0,16,30to40
40.0,9883.0,17,30to40
40.0,9900.0,18,30to40
22.0,9386.0,19,30to40
37.0,9902.0,20,30to40
40.0,9893.0,21,30to40
40.0,9863.0,22,30to40
40.0,9849.0,23,30to40
38.0,9869.0,24,30to40
37.0,9894.0,25,30to40
40.0,9825.0,26,30to40
34.0,9832.0,27,30to40
27.0,9623.0,28,30to40
40.0,9848.0,29,30to40
