V1,V2,set,DM_range
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
20.0,7655.0,0,10to20
17.0,7531.0,1,10to20
20.0,7658.0,2,10to20
20.0,7705.0,3,10to20
12.0,7194.0,4,10to20
19.0,7623.0,5,10to20
19.0,7675.0,6,10to20
18.0,7670.0,7,10to20
20.0,7662.0,8,10to20
20.0,7768.0,9,10to20
20.0,7768.0,10,10to20
19.0,7709.0,11,10to20
20.0,7705.0,12,10to20
20.0,7706.0,13,10to20
20.0,7728.0,14,10to20
14.0,7367.0,15,10to20
20.0,7779.0,16,10to20
20.0,7798.0,17,10to20
9.0,6956.0,18,10to20
20.0,7709.0,19,10to20
20.0,7515.0,20,10to20
20.0,7762.0,21,10to20
20.0,7663.0,22,10to20
20.0,7599.0,23,10to20
20.0,7702.0,24,10to20
20.0,7809.0,25,10to20
20.0,7768.0,26,10to20
20.0,7590.0,27,10to20
20.0,7733.0,28,10to20
15.0,7437.0,29,10to20
25.0,8089.0,0,20to30
30.0,8228.0,1,20to30
20.0,7710.0,2,20to30
30.0,8242.0,3,20to30
30.0,8097.0,4,20to30
30.0,8272.0,5,20to30
30.0,8400.0,6,20to30
30.0,8184.0,7,20to30
28.0,8168.0,8,20to30
23.0,7946.0,9,20to30
26.0,8068.0,10,20to30
30.0,8383.0,11,20to30
29.0,8308.0,12,20to30
29.0,8165.0,13,20to30
30.0,8310.0,14,20to30
30.0,8255.0,15,20to30
30.0,8315.0,16,20to30
30.0,8130.0,17,20to30
30.0,8184.0,18,20to30
30.0,8295.0,19,20to30
29.0,8222.0,20,20to30
30.0,8239.0,21,20to30
29.0,8218.0,22,20to30
30.0,8356.0,23,20to30
29.0,8205.0,24,20to30
29.0,8270.0,25,20to30
29.0,8148.0,26,20to30
30.0,8319.0,27,20to30
20.0,7675.0,28,20to30
30.0,8216.0,29,20to30
40.0,8612.0,0,30to40
39.0,8643.0,1,30to40
39.0,8717.0,2,30to40
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
20.0,7655.0,0,10to20
17.0,7531.0,1,10to20
20.0,7658.0,2,10to20
20.0,7705.0,3,10to20
12.0,7194.0,4,10to20
19.0,7623.0,5,10to20
19.0,7675.0,6,10to20
18.0,7670.0,7,10to20
20.0,7662.0,8,10to20
20.0,7768.0,9,10to20
20.0,7768.0,10,10to20
19.0,7709.0,11,10to20
20.0,7705.0,12,10to20
20.0,7706.0,13,10to20
20.0,7728.0,14,10to20
14.0,7367.0,15,10to20
20.0,7779.0,16,10to20
20.0,7798.0,17,10to20
9.0,6956.0,18,10to20
20.0,7709.0,19,10to20
20.0,7515.0,20,10to20
20.0,7762.0,21,10to20
20.0,7663.0,22,10to20
20.0,7599.0,23,10to20
20.0,7702.0,24,10to20
20.0,7809.0,25,10to20
20.0,7768.0,26,10to20
20.0,7590.0,27,10to20
20.0,7733.0,28,10to20
15.0,7437.0,29,10to20
25.0,8089.0,0,20to30
30.0,8228.0,1,20to30
20.0,7710.0,2,20to30
30.0,8242.0,3,20to30
30.0,8097.0,4,20to30
30.0,8272.0,5,20to30
30.0,8400.0,6,20to30
30.0,8184.0,7,20to30
28.0,8168.0,8,20to30
23.0,7946.0,9,20to30
26.0,8068.0,10,20to30
30.0,8383.0,11,20to30
29.0,8308.0,12,20to30
29.0,8165.0,13,20to30
30.0,8310.0,14,20to30
30.0,8255.0,15,20to30
30.0,8315.0,16,20to30
30.0,8130.0,17,20to30
30.0,8184.0,18,20to30
30.0,8295.0,19,20to30
29.0,8222.0,20,20to30
30.0,8239.0,21,20to30
29.0,8218.0,22,20to30
30.0,8356.0,23,20to30
29.0,8205.0,24,20to30
29.0,8270.0,25,20to30
29.0,8148.0,26,20to30
30.0,8319.0,27,20to30
20.0,7675.0,28,20to30
30.0,8216.0,29,20to30
40.0,8612.0,0,30to40
39.0,8643.0,1,30to40
39.0,8717.0,2,30to40
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
20.0,7655.0,0,10to20
17.0,7531.0,1,10to20
20.0,7658.0,2,10to20
20.0,7705.0,3,10to20
12.0,7194.0,4,10to20
19.0,7623.0,5,10to20
19.0,7675.0,6,10to20
18.0,7670.0,7,10to20
20.0,7662.0,8,10to20
20.0,7768.0,9,10to20
20.0,7768.0,10,10to20
19.0,7709.0,11,10to20
20.0,7705.0,12,10to20
20.0,7706.0,13,10to20
20.0,7728.0,14,10to20
14.0,7367.0,15,10to20
20.0,7779.0,16,10to20
20.0,7798.0,17,10to20
9.0,6956.0,18,10to20
20.0,7709.0,19,10to20
20.0,7515.0,20,10to20
20.0,7762.0,21,10to20
20.0,7663.0,22,10to20
20.0,7599.0,23,10to20
20.0,7702.0,24,10to20
20.0,7809.0,25,10to20
20.0,7768.0,26,10to20
20.0,7590.0,27,10to20
20.0,7733.0,28,10to20
15.0,7437.0,29,10to20
25.0,8089.0,0,20to30
30.0,8228.0,1,20to30
20.0,7710.0,2,20to30
30.0,8242.0,3,20to30
30.0,8097.0,4,20to30
30.0,8272.0,5,20to30
30.0,8400.0,6,20to30
30.0,8184.0,7,20to30
28.0,8168.0,8,20to30
23.0,7946.0,9,20to30
26.0,8068.0,10,20to30
30.0,8383.0,11,20to30
29.0,8308.0,12,20to30
29.0,8165.0,13,20to30
30.0,8310.0,14,20to30
30.0,8255.0,15,20to30
30.0,8315.0,16,20to30
30.0,8130.0,17,20to30
30.0,8184.0,18,20to30
30.0,8295.0,19,20to30
29.0,8222.0,20,20to30
30.0,8239.0,21,20to30
29.0,8218.0,22,20to30
30.0,8356.0,23,20to30
29.0,8205.0,24,20to30
29.0,8270.0,25,20to30
29.0,8148.0,26,20to30
30.0,8319.0,27,20to30
20.0,7675.0,28,20to30
30.0,8216.0,29,20to30
40.0,8612.0,0,30to40
39.0,8643.0,1,30to40
39.0,8717.0,2,30to40
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
20.0,7655.0,0,10to20
17.0,7531.0,1,10to20
20.0,7658.0,2,10to20
20.0,7705.0,3,10to20
12.0,7194.0,4,10to20
19.0,7623.0,5,10to20
19.0,7675.0,6,10to20
18.0,7670.0,7,10to20
20.0,7662.0,8,10to20
20.0,7768.0,9,10to20
20.0,7768.0,10,10to20
19.0,7709.0,11,10to20
20.0,7705.0,12,10to20
20.0,7706.0,13,10to20
20.0,7728.0,14,10to20
14.0,7367.0,15,10to20
20.0,7779.0,16,10to20
20.0,7798.0,17,10to20
9.0,6956.0,18,10to20
20.0,7709.0,19,10to20
20.0,7515.0,20,10to20
20.0,7762.0,21,10to20
20.0,7663.0,22,10to20
20.0,7599.0,23,10to20
20.0,7702.0,24,10to20
20.0,7809.0,25,10to20
20.0,7768.0,26,10to20
20.0,7590.0,27,10to20
20.0,7733.0,28,10to20
15.0,7437.0,29,10to20
25.0,8089.0,0,20to30
30.0,8228.0,1,20to30
20.0,7710.0,2,20to30
30.0,8242.0,3,20to30
30.0,8097.0,4,20to30
30.0,8272.0,5,20to30
30.0,8400.0,6,20to30
30.0,8184.0,7,20to30
28.0,8168.0,8,20to30
23.0,7946.0,9,20to30
26.0,8068.0,10,20to30
30.0,8383.0,11,20to30
29.0,8308.0,12,20to30
29.0,8165.0,13,20to30
30.0,8310.0,14,20to30
30.0,8255.0,15,20to30
30.0,8315.0,16,20to30
30.0,8130.0,17,20to30
30.0,8184.0,18,20to30
30.0,8295.0,19,20to30
29.0,8222.0,20,20to30
30.0,8239.0,21,20to30
29.0,8218.0,22,20to30
30.0,8356.0,23,20to30
29.0,8205.0,24,20to30
29.0,8270.0,25,20to30
29.0,8148.0,26,20to30
30.0,8319.0,27,20to30
20.0,7675.0,28,20to30
30.0,8216.0,29,20to30
40.0,8612.0,0,30to40
39.0,8643.0,1,30to40
39.0,8717.0,2,30to40
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
20.0,7655.0,0,10to20
17.0,7531.0,1,10to20
20.0,7658.0,2,10to20
20.0,7705.0,3,10to20
12.0,7194.0,4,10to20
19.0,7623.0,5,10to20
19.0,7675.0,6,10to20
18.0,7670.0,7,10to20
20.0,7662.0,8,10to20
20.0,7768.0,9,10to20
20.0,7768.0,10,10to20
19.0,7709.0,11,10to20
20.0,7705.0,12,10to20
20.0,7706.0,13,10to20
20.0,7728.0,14,10to20
14.0,7367.0,15,10to20
20.0,7779.0,16,10to20
20.0,7798.0,17,10to20
9.0,6956.0,18,10to20
20.0,7709.0,19,10to20
20.0,7515.0,20,10to20
20.0,7762.0,21,10to20
20.0,7663.0,22,10to20
20.0,7599.0,23,10to20
20.0,7702.0,24,10to20
20.0,7809.0,25,10to20
20.0,7768.0,26,10to20
20.0,7590.0,27,10to20
20.0,7733.0,28,10to20
15.0,7437.0,29,10to20
25.0,8089.0,0,20to30
30.0,8228.0,1,20to30
20.0,7710.0,2,20to30
30.0,8242.0,3,20to30
30.0,8097.0,4,20to30
30.0,8272.0,5,20to30
30.0,8400.0,6,20to30
30.0,8184.0,7,20to30
28.0,8168.0,8,20to30
23.0,7946.0,9,20to30
26.0,8068.0,10,20to30
30.0,8383.0,11,20to30
29.0,8308.0,12,20to30
29.0,8165.0,13,20to30
30.0,8310.0,14,20to30
30.0,8255.0,15,20to30
30.0,8315.0,16,20to30
30.0,8130.0,17,20to30
30.0,8184.0,18,20to30
30.0,8295.0,19,20to30
29.0,8222.0,20,20to30
30.0,8239.0,21,20to30
29.0,8218.0,22,20to30
30.0,8356.0,23,20to30
29.0,8205.0,24,20to30
29.0,8270.0,25,20to30
29.0,8148.0,26,20to30
30.0,8319.0,27,20to30
20.0,7675.0,28,20to30
30.0,8216.0,29,20to30
40.0,8612.0,0,30to40
39.0,8643.0,1,30to40
39.0,8717.0,2,30to40
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
20.0,7655.0,0,10to20
17.0,7531.0,1,10to20
20.0,7658.0,2,10to20
20.0,7705.0,3,10to20
12.0,7194.0,4,10to20
19.0,7623.0,5,10to20
19.0,7675.0,6,10to20
18.0,7670.0,7,10to20
20.0,7662.0,8,10to20
20.0,7768.0,9,10to20
20.0,7768.0,10,10to20
19.0,7709.0,11,10to20
20.0,7705.0,12,10to20
20.0,7706.0,13,10to20
20.0,7728.0,14,10to20
14.0,7367.0,15,10to20
20.0,7779.0,16,10to20
20.0,7798.0,17,10to20
9.0,6956.0,18,10to20
20.0,7709.0,19,10to20
20.0,7515.0,20,10to20
20.0,7762.0,21,10to20
20.0,7663.0,22,10to20
20.0,7599.0,23,10to20
20.0,7702.0,24,10to20
20.0,7809.0,25,10to20
20.0,7768.0,26,10to20
20.0,7590.0,27,10to20
20.0,7733.0,28,10to20
15.0,7437.0,29,10to20
25.0,8089.0,0,20to30
30.0,8228.0,1,20to30
20.0,7710.0,2,20to30
30.0,8242.0,3,20to30
30.0,8097.0,4,20to30
30.0,8272.0,5,20to30
30.0,8400.0,6,20to30
30.0,8184.0,7,20to30
28.0,8168.0,8,20to30
23.0,7946.0,9,20to30
26.0,8068.0,10,20to30
30.0,8383.0,11,20to30
29.0,8308.0,12,20to30
29.0,8165.0,13,20to30
30.0,8310.0,14,20to30
30.0,8255.0,15,20to30
30.0,8315.0,16,20to30
30.0,8130.0,17,20to30
30.0,8184.0,18,20to30
30.0,8295.0,19,20to30
29.0,8222.0,20,20to30
30.0,8239.0,21,20to30
29.0,8218.0,22,20to30
30.0,8356.0,23,20to30
29.0,8205.0,24,20to30
29.0,8270.0,25,20to30
29.0,8148.0,26,20to30
30.0,8319.0,27,20to30
20.0,7675.0,28,20to30
30.0,8216.0,29,20to30
40.0,8612.0,0,30to40
39.0,8643.0,1,30to40
39.0,8717.0,2,30to40
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
20.0,7655.0,0,10to20
17.0,7531.0,1,10to20
20.0,7658.0,2,10to20
20.0,7705.0,3,10to20
12.0,7194.0,4,10to20
19.0,7623.0,5,10to20
19.0,7675.0,6,10to20
18.0,7670.0,7,10to20
20.0,7662.0,8,10to20
20.0,7768.0,9,10to20
20.0,7768.0,10,10to20
19.0,7709.0,11,10to20
20.0,7705.0,12,10to20
20.0,7706.0,13,10to20
20.0,7728.0,14,10to20
14.0,7367.0,15,10to20
20.0,7779.0,16,10to20
20.0,7798.0,17,10to20
9.0,6956.0,18,10to20
20.0,7709.0,19,10to20
20.0,7515.0,20,10to20
20.0,7762.0,21,10to20
20.0,7663.0,22,10to20
20.0,7599.0,23,10to20
20.0,7702.0,24,10to20
20.0,7809.0,25,10to20
20.0,7768.0,26,10to20
20.0,7590.0,27,10to20
20.0,7733.0,28,10to20
15.0,7437.0,29,10to20
25.0,8089.0,0,20to30
30.0,8228.0,1,20to30
20.0,7710.0,2,20to30
30.0,8242.0,3,20to30
30.0,8097.0,4,20to30
30.0,8272.0,5,20to30
30.0,8400.0,6,20to30
30.0,8184.0,7,20to30
28.0,8168.0,8,20to30
23.0,7946.0,9,20to30
26.0,8068.0,10,20to30
30.0,8383.0,11,20to30
29.0,8308.0,12,20to30
29.0,8165.0,13,20to30
30.0,8310.0,14,20to30
30.0,8255.0,15,20to30
30.0,8315.0,16,20to30
30.0,8130.0,17,20to30
30.0,8184.0,18,20to30
30.0,8295.0,19,20to30
29.0,8222.0,20,20to30
30.0,8239.0,21,20to30
29.0,8218.0,22,20to30
30.0,8356.0,23,20to30
29.0,8205.0,24,20to30
29.0,8270.0,25,20to30
29.0,8148.0,26,20to30
30.0,8319.0,27,20to30
20.0,7675.0,28,20to30
30.0,8216.0,29,20to30
40.0,8612.0,0,30to40
39.0,8643.0,1,30to40
39.0,8717.0,2,30to40
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
20.0,7655.0,0,10to20
17.0,7531.0,1,10to20
20.0,7658.0,2,10to20
20.0,7705.0,3,10to20
12.0,7194.0,4,10to20
19.0,7623.0,5,10to20
19.0,7675.0,6,10to20
18.0,7670.0,7,10to20
20.0,7662.0,8,10to20
20.0,7768.0,9,10to20
20.0,7768.0,10,10to20
19.0,7709.0,11,10to20
20.0,7705.0,12,10to20
20.0,7706.0,13,10to20
20.0,7728.0,14,10to20
14.0,7367.0,15,10to20
20.0,7779.0,16,10to20
20.0,7798.0,17,10to20
9.0,6956.0,18,10to20
20.0,7709.0,19,10to20
20.0,7515.0,20,10to20
20.0,7762.0,21,10to20
20.0,7663.0,22,10to20
20.0,7599.0,23,10to20
20.0,7702.0,24,10to20
20.0,7809.0,25,10to20
20.0,7768.0,26,10to20
20.0,7590.0,27,10to20
20.0,7733.0,28,10to20
15.0,7437.0,29,10to20
25.0,8089.0,0,20to30
30.0,8228.0,1,20to30
20.0,7710.0,2,20to30
30.0,8242.0,3,20to30
30.0,8097.0,4,20to30
30.0,8272.0,5,20to30
30.0,8400.0,6,20to30
30.0,8184.0,7,20to30
28.0,8168.0,8,20to30
23.0,7946.0,9,20to30
26.0,8068.0,10,20to30
30.0,8383.0,11,20to30
29.0,8308.0,12,20to30
29.0,8165.0,13,20to30
30.0,8310.0,14,20to30
30.0,8255.0,15,20to30
30.0,8315.0,16,20to30
30.0,8130.0,17,20to30
30.0,8184.0,18,20to30
30.0,8295.0,19,20to30
29.0,8222.0,20,20to30
30.0,8239.0,21,20to30
29.0,8218.0,22,20to30
30.0,8356.0,23,20to30
29.0,8205.0,24,20to30
29.0,8270.0,25,20to30
29.0,8148.0,26,20to30
30.0,8319.0,27,20to30
20.0,7675.0,28,20to30
30.0,8216.0,29,20to30
40.0,8612.0,0,30to40
39.0,8643.0,1,30to40
39.0,8717.0,2,30to40
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
20.0,7655.0,0,10to20
17.0,7531.0,1,10to20
20.0,7658.0,2,10to20
20.0,7705.0,3,10to20
12.0,7194.0,4,10to20
19.0,7623.0,5,10to20
19.0,7675.0,6,10to20
18.0,7670.0,7,10to20
20.0,7662.0,8,10to20
20.0,7768.0,9,10to20
20.0,7768.0,10,10to20
19.0,7709.0,11,10to20
20.0,7705.0,12,10to20
20.0,7706.0,13,10to20
20.0,7728.0,14,10to20
14.0,7367.0,15,10to20
20.0,7779.0,16,10to20
20.0,7798.0,17,10to20
9.0,6956.0,18,10to20
20.0,7709.0,19,10to20
20.0,7515.0,20,10to20
20.0,7762.0,21,10to20
20.0,7663.0,22,10to20
20.0,7599.0,23,10to20
20.0,7702.0,24,10to20
20.0,7809.0,25,10to20
20.0,7768.0,26,10to20
20.0,7590.0,27,10to20
20.0,7733.0,28,10to20
15.0,7437.0,29,10to20
25.0,8089.0,0,20to30
30.0,8228.0,1,20to30
20.0,7710.0,2,20to30
30.0,8242.0,3,20to30
30.0,8097.0,4,20to30
30.0,8272.0,5,20to30
30.0,8400.0,6,20to30
30.0,8184.0,7,20to30
28.0,8168.0,8,20to30
23.0,7946.0,9,20to30
26.0,8068.0,10,20to30
30.0,8383.0,11,20to30
29.0,8308.0,12,20to30
29.0,8165.0,13,20to30
30.0,8310.0,14,20to30
30.0,8255.0,15,20to30
30.0,8315.0,16,20to30
30.0,8130.0,17,20to30
30.0,8184.0,18,20to30
30.0,8295.0,19,20to30
29.0,8222.0,20,20to30
30.0,8239.0,21,20to30
29.0,8218.0,22,20to30
30.0,8356.0,23,20to30
29.0,8205.0,24,20to30
29.0,8270.0,25,20to30
29.0,8148.0,26,20to30
30.0,8319.0,27,20to30
20.0,7675.0,28,20to30
30.0,8216.0,29,20to30
40.0,8612.0,0,30to40
39.0,8643.0,1,30to40
39.0,8717.0,2,30to40
40.0,8678.0,3,30to40
40.0,8692.0,4,30to40
40.0,8675.0,5,30to40
39.0,8643.0,6,30to40
39.0,8527.0,7,30to40
37.0,8593.0,8,30to40
38.0,8665.0,9,30to40
39.0,8528.0,10,30to40
22.0,7816.0,11,30to40
40.0,8712.0,12,30to40
38.0,8636.0,13,30to40
29.0,8281.0,14,30to40
39.0,8722.0,15,30to40
40.0,8726.0,16,30to40
39.0,8680.0,17,30to40
40.0,8643.0,18,30to40
40.0,8801.0,19,30to40
40.0,8761.0,20,30to40
38.0,8793.0,21,30to40
40.0,8736.0,22,30to40
40.0,8731.0,23,30to40
40.0,8754.0,24,30to40
40.0,8513.0,25,30to40
40.0,8816.0,26,30to40
40.0,8595.0,27,30to40
40.0,8667.0,28,30to40
40.0,8644.0,29,30to40
